"epoch","wurdinger_fnn_testset.yaml - _step","wurdinger_fnn_testset.yaml - _step__MIN","wurdinger_fnn_testset.yaml - _step__MAX","wurdinger_fnn_testset.yaml - loss_to_report_val","wurdinger_fnn_testset.yaml - loss_to_report_val__MIN","wurdinger_fnn_testset.yaml - loss_to_report_val__MAX"
"294","588","588","588","0.13125221684911498","0.12868845293106032","0.133213346602186"
"295","590","590","590","0.13118918081496436","0.12812586869483691","0.13320045375996775"
"296","592","592","592","0.13192268063505833","0.12977911072212509","0.1351229558726804"
"297","594","594","594","0.13101616184341552","0.12875191056377525","0.1332056087725113"
"298","596","596","596","0.13178593618895465","0.12882552492378588","0.133607717756484"
"299","598","598","598","0.13201108602380168","0.13025893297045568","0.13483393532232318"
"300","600","600","600","0.13191363436101217","0.12926243045218636","0.1350219984170977"
"301","602","602","602","0.13163786765020916","0.12941454819527537","0.1344332503400115"
"302","604","604","604","0.1312782317823934","0.12910209871208808","0.13310232441032666"
"303","606","606","606","0.13135926711229734","0.1293729662262813","0.13280162912284013"
"304","608","608","608","0.1319912230580207","0.13048057944853944","0.13422469243753865"
"305","610","610","610","0.1312610145441496","0.12846644704878815","0.13292558439802893"
"306","612","612","612","0.13201836549598361","0.1303291125666322","0.13402642460263237"
"307","614","614","614","0.1314700467080429","0.12894163112409732","0.13350867171303818"
"308","616","616","616","0.13099192672014506","0.12903762387143375","0.1326796581738324"
"309","618","618","618","0.13091837751773178","0.12987869324504836","0.13245512982486168"
"310","620","620","620","0.13096727732466257","0.12962133562013436","0.13270000740987256"
"311","622","622","622","0.13123001163033954","0.12947526393709596","0.13410342136717454"
"312","624","624","624","0.1322469886972439","0.1293556601297124","0.13507076324211573"
"313","626","626","626","0.13133360929345034","0.12969810520904962","0.133634468780954"
"314","628","628","628","0.131311735499568","0.13015462583848394","0.1327953958209872"
"315","630","630","630","0.13115649978755284","0.12861191594247887","0.13501879796001445"
"316","632","632","632","0.13125892262113842","0.12929183734955707","0.13377354699429914"
"317","634","634","634","0.13100996213033717","0.1292442151440147","0.134823908842457"
"318","636","636","636","0.13123601438423088","0.12921617411671352","0.13424266457770032"
"319","638","638","638","0.13065965985910416","0.12798186988836505","0.13343603384653194"
"320","640","640","640","0.13133319069909422","0.12969289057948402","0.13335998177891917"
"321","642","642","642","0.13135206982146821","0.1297444515461953","0.13405888578117534"
"322","644","644","644","0.13115231732281352","0.12880121590446827","0.13440009108476134"
"323","646","646","646","0.13069719735095073","0.12915649099535395","0.13336789963930507"
"324","648","648","648","0.13045113543422163","0.12859180717811242","0.1324610991357354"
"325","650","650","650","0.1313654429225464","0.13002445998257797","0.13409136246338368"
"326","652","652","652","0.13187748405805444","0.12997964582167773","0.13411599713449013"
"327","654","654","654","0.1314227398353485","0.1294368051018214","0.13271414037234508"
"328","656","656","656","0.1307814308340001","0.12867160504736694","0.13212365499227846"
"329","658","658","658","0.13118090797933976","0.12977807768109506","0.1331857206470976"
"330","660","660","660","0.13098971895270126","0.1292482662913474","0.13388748308423506"
"331","662","662","662","0.13093806242368924","0.1290168989410491","0.13365829093639872"
"332","664","664","664","0.1308564268167047","0.12841354664010893","0.13347123932005653"
"333","666","666","666","0.1310418710385131","0.1290848570337709","0.13475443816216517"
"334","668","668","668","0.1307025269724721","0.1288278160997855","0.13248152669037172"
"335","670","670","670","0.13109869159412113","0.12834644214843577","0.1336465065140202"
"336","672","672","672","0.13122638672300038","0.12765038955295","0.13353315695431225"
"337","674","674","674","0.1300063720227012","0.12781614289287274","0.13172629987203718"
"338","676","676","676","0.13093190450012634","0.12843108582370327","0.13642959509515437"
"339","678","678","678","0.13075402763785066","0.12797379685088628","0.13311089608947654"
"340","680","680","680","0.13096964596622823","0.12819071808631075","0.1341821742729443"
"341","682","682","682","0.13065751391033334","0.12846062538697442","0.13371070671789562"
"342","684","684","684","0.13055472527976128","0.12923814574412873","0.13267311871129087"
"343","686","686","686","0.13052800556628988","0.12781250853605686","0.13325826161417104"
"344","688","688","688","0.13084464418924818","0.12807542282178","0.13287015040297534"
"345","690","690","690","0.13114879512999406","0.12938830275860944","0.13472863657721051"
"346","692","692","692","0.13149186276509844","0.12863675118622506","0.13409647778973663"
"347","694","694","694","0.13089102604688263","0.12781911639992044","0.13373360555869343"
"348","696","696","696","0.13041700847933252","0.12795279948147825","0.13285677749740893"
"349","698","698","698","0.1313390943095521","0.12866473121938882","0.1361905625746281"
"350","700","700","700","0.13077721533836995","0.12869968317016126","0.13333611198337353"
"351","702","702","702","0.13095606015064493","0.12875712775088244","0.1329142316468704"
"352","704","704","704","0.13060058958540785","0.1298379277827458","0.13196892041869623"
