"epoch","Name: hopfield_mol - _step","Name: hopfield_mol - _step__MIN","Name: hopfield_mol - _step__MAX","Name: hopfield_mol - ci_val","Name: hopfield_mol - ci_val__MIN","Name: hopfield_mol - ci_val__MAX"
"308","616","616","616","0.8725929952246189","0.8692261798848953","0.8740952261362281"
"309","618","618","618","0.8715343838656144","0.8703025419198885","0.8734280514451557"
"310","620","620","620","0.8742317535201751","0.8720229361669111","0.8787506532385465"
"311","622","622","622","0.8713096219720171","0.8684548366447221","0.8736106907028518"
"312","624","624","624","0.8722151283467976","0.8685240619565718","0.8753464118661919"
"313","626","626","626","0.8716464883348461","0.8684564723114709","0.8742828889140253"
"314","628","628","628","0.8725632307853362","0.8671218253513752","0.8749605095597965"
"315","630","630","630","0.8712623524179193","0.8659013252751112","0.875126143938285"
"316","632","632","632","0.8713865364700476","0.8695818400509655","0.873454965998729"
"317","634","634","634","0.8719503136053222","0.8704698088540569","0.8726189290408461"
"318","636","636","636","0.8720940113222145","0.871025255320979","0.8742000430994823"
"319","638","638","638","0.8727973563400127","0.8694985499628638","0.8764361175121271"
"320","640","640","640","0.8736403058848563","0.8696634015990389","0.8783196566472447"
"321","642","642","642","0.8732297618124459","0.8712399724016875","0.8747142504899851"
"322","644","644","644","0.87191309796472","0.8688294590160465","0.8758614294620936"
"323","646","646","646","0.8716343879979653","0.8686336936889747","0.8781388622013144"
"324","648","648","648","0.8706161330935392","0.8674565031992831","0.8729174563492554"
"325","650","650","650","0.872726778996587","0.8696018440118841","0.8760372061974752"
"326","652","652","652","0.8712872892979304","0.8667923885162581","0.8781831009468192"
"327","654","654","654","0.8704711496101265","0.8636261083484421","0.8746697408710432"
"328","656","656","656","0.8699696188385122","0.8649153192614792","0.8731235242129098"
"329","658","658","658","0.8723939458681278","0.8658125283321387","0.8762526257369936"
"330","660","660","660","0.8721268003771507","0.8672483489902735","0.8749474253106653"
"331","662","662","662","0.8698873018569397","0.8656481767252677","0.8751401934414955"
"332","664","664","664","0.8696305297874274","0.86564204152794","0.8725506129442605"
"333","666","666","666","0.869666197121403","0.8642802741832064","0.8736205774523985"
"334","668","668","668","0.8709562228210993","0.8672556628076877","0.8745685256035749"
