"epoch","Name: hopfield_prot - _step","Name: hopfield_prot - _step__MIN","Name: hopfield_prot - _step__MAX","Name: hopfield_prot - loss_to_report_val","Name: hopfield_prot - loss_to_report_val__MIN","Name: hopfield_prot - loss_to_report_val__MAX"
"274","548","548","548","0.15005922135566474","0.14859686923586088","0.15216141762305072"
"275","550","550","550","0.15132350637079983","0.15063457445791142","0.15251075460260316"
"276","552","552","552","0.15050029561691738","0.14970380908867895","0.15093719085954915"
"277","554","554","554","0.15084299862750616","0.1472040506712176","0.15489538552900448"
"278","556","556","556","0.1498471695273974","0.14817270389244927","0.15282214328318525"
"279","558","558","558","0.1501671487268022","0.14872713231277487","0.1520719797385621"
"280","560","560","560","0.14997263499365338","0.14828255932164447","0.15106769759814015"
"281","562","562","562","0.1484914054825317","0.14439794770512288","0.1509077833016302"
"282","564","564","564","0.14920072338652313","0.1475937066446009","0.15082334075248505"
"283","566","566","566","0.14965939227086536","0.14661294557686344","0.15216840208403054"
"284","568","568","568","0.1497373919590796","0.1461317423496052","0.152084826070012"
"285","570","570","570","0.15093797209051335","0.14678286220837494","0.15553768242747612"
"286","572","572","572","0.1504256327174593","0.14727027542492288","0.1531910885474916"
"287","574","574","574","0.1500339204660718","0.14854777412565662","0.15265294791217524"
"288","576","576","576","0.14918667052796314","0.1468182726849163","0.15188126409734798"
"289","578","578","578","0.15023605863255482","0.14808125065696529","0.15125372461119682"
"290","580","580","580","0.15053389680674414","0.14895713459751034","0.1536252372625398"
"291","582","582","582","0.15123171957500892","0.14740156835572613","0.1529594158373491"
"292","584","584","584","0.15002916873779956","0.14727864755416822","0.15442451575718516"
"293","586","586","586","0.1478962622798215","0.14414441691521007","0.15165642641620097"
"294","588","588","588","0.14971076771561043","0.14600491191923154","0.15598331811967223"
"295","590","590","590","0.1488648909407569","0.144695720281689","0.15430441734951322"
"296","592","592","592","0.14987401883772883","0.1465789142296175","0.15258751388220296"
"297","594","594","594","0.150857089186556","0.1474143643305288","0.15450254973603167"
"298","596","596","596","0.14892117064223093","0.1455522100397585","0.15374847941876238"
"299","598","598","598","0.15066344629309975","0.14579717752091506","0.15305816278464082"
"300","600","600","600","0.1523557913389527","0.1470313457010164","0.15673612512827687"
"301","602","602","602","0.15222447151754778","0.14922570924484577","0.15702604744540694"
"302","604","604","604","0.14939645998106718","0.14791226708828978","0.15074234178105725"
"303","606","606","606","0.14829420104873062","0.14639349586181089","0.14999185690938077"
"304","608","608","608","0.14889970910593428","0.1479042235453656","0.1501932260462725"
"305","610","610","610","0.15046105771142854","0.14648944120674723","0.152786452445885"
"306","612","612","612","0.15023695089109357","0.14731968167615336","0.15309264750572865"
"307","614","614","614","0.1497412940154288","0.1474061588196039","0.15157916993822007"
"308","616","616","616","0.14981284126303146","0.1471083153893946","0.1528366552652093"
"309","618","618","618","0.14914130987174581","0.14750934341869057","0.15134993238361105"
"310","620","620","620","0.15046068661205586","0.14751869244411175","0.15571395245039651"
"311","622","622","622","0.1503514562326846","0.14847348272216615","0.15169440966933218"
"312","624","624","624","0.14955167463939303","0.1485954795677405","0.15118319458512458"
"313","626","626","626","0.15027009939759176","0.14883589791384505","0.1531261397456897"
"314","628","628","628","0.1484491161986436","0.14666370273684431","0.14928486799642046"
"315","630","630","630","0.14970093751573213","0.14751626835693812","0.1515898609347188"
"316","632","632","632","0.15076632688568242","0.14867170453124154","0.15250296425803261"
"317","634","634","634","0.15082435022843493","0.14846719307539627","0.152751418856754"
"318","636","636","636","0.14997419665387857","0.14752864620624723","0.15357470249601976"
"319","638","638","638","0.14871491735139164","0.1439203178800438","0.15277056026140873"
"320","640","640","640","0.1497017280521424","0.14902679629497498","0.15156688283798292"
"321","642","642","642","0.150569487414927","0.1485607924043103","0.1524168378941736"
"322","644","644","644","0.15010960266679593","0.14740078676041796","0.15243744664461603"
"323","646","646","646","0.15091505865211183","0.14760714053903365","0.1556969362971956"
"324","648","648","648","0.15043136218435585","0.14605623311994742","0.15254386692283733"
"325","650","650","650","0.15005755113721847","0.148660501375568","0.15351145827599957"
